cell_type,gene_id
Epidermis,Solyc07g055215
Epidermis,Solyc07g055220
Epidermis,Solyc07g056590
Epidermis,Solyc07g062130
Epidermis,Solyc07g062550
Epidermis,Solyc07g062890
Epidermis,Solyc07g062910
Epidermis,Solyc07g062950
Epidermis,Solyc07g063110
Epidermis,Solyc07g063170
Epidermis,Solyc07g063250
Epidermis,Solyc07g063510
Epidermis,Solyc07g063560
Epidermis,Solyc07g064370
Epidermis,Solyc07g064380
Epidermis,Solyc07g064490
Epidermis,Solyc07g065420
Epidermis,Solyc07g065500
Epidermis,Solyc07g066030
Epidermis,Solyc07g066050
Epidermis,Solyc07g066340
Epidermis,Solyc07g066385
Epidermis,Solyc07g066640
Epidermis,Solyc08g005280
Epidermis,Solyc08g005350
Epidermis,Solyc08g005500
Epidermis,Solyc08g006170
Epidermis,Solyc08g006230
Epidermis,Solyc08g006600
Epidermis,Solyc08g006760
Epidermis,Solyc08g006910
Epidermis,Solyc08g007140
Epidermis,Solyc08g007480
Epidermis,Solyc08g007540
Epidermis,Solyc08g007710
Epidermis,Solyc08g007750
Epidermis,Solyc08g007780
Epidermis,Solyc08g008070
Epidermis,Solyc08g014100
Epidermis,Solyc08g014330
Epidermis,Solyc08g014350
Epidermis,Solyc08g014600
Epidermis,Solyc08g015860
Epidermis,Solyc08g042040
Epidermis,Solyc08g023490
Epidermis,Solyc08g023493
Epidermis,Solyc08g023497
Epidermis,Solyc08g059760
Epidermis,Solyc08g061240
Epidermis,Solyc08g061250
Epidermis,Solyc08g061323
Epidermis,Solyc08g065220
Epidermis,Solyc08g065320
Epidermis,Solyc08g065450
Epidermis,Solyc08g065500
Epidermis,Solyc08g066060
Epidermis,Solyc08g067060
Epidermis,Solyc08g067410
Epidermis,Solyc08g067430
Epidermis,Solyc08g067740
Epidermis,Solyc08g067820
Epidermis,Solyc08g067960
Epidermis,Solyc08g068390
Epidermis,Solyc08g068840
Epidermis,Solyc08g069130
Epidermis,Solyc08g069170
Epidermis,Solyc08g074450
Epidermis,Solyc08g074480
Epidermis,Solyc08g074897
Epidermis,Solyc08g075500
Epidermis,Solyc08g075520
Epidermis,Solyc08g075950
Epidermis,Solyc08g076010
Epidermis,Solyc08g076340
Epidermis,Solyc08g076610
Epidermis,Solyc08g076680
Epidermis,Solyc08g077310
Epidermis,Solyc08g077685
Epidermis,Solyc08g078040
Epidermis,Solyc08g078100
Epidermis,Solyc08g078480
Epidermis,Solyc08g078753
Epidermis,Solyc08g079030
Epidermis,Solyc08g079150
Epidermis,Solyc08g079610
Epidermis,Solyc08g080000
Epidermis,Solyc08g080400
Epidermis,Solyc08g080930
Epidermis,Solyc08g081250
Epidermis,Solyc08g081260
Epidermis,Solyc08g081670
Epidermis,Solyc08g081840
Epidermis,Solyc08g082410
Epidermis,Solyc08g083380
Epidermis,Solyc09g005230
Epidermis,Solyc09g005580
Epidermis,Solyc09g005640
Epidermis,Solyc09g005990
Epidermis,Solyc09g007150
Epidermis,Solyc09g007340
Epidermis,Solyc09g007460
Epidermis,Solyc09g007940
Epidermis,Solyc09g008130
Epidermis,Solyc09g008260
Epidermis,Solyc09g008450
Epidermis,Solyc09g008590
